,APN,TOC
955,5407005011,Tier 3
956,5407018025,Tier 3
957,5407009017,Tier 3
958,5409003029,Tier 3
959,5406022093,Tier 2
960,5414005023,Tier 4
961,5407018005,Tier 3
962,5407009006,Tier 3
963,5408021002,Tier 3
964,5408013025,Tier 4
965,5407017056,Tier 3
966,5406026014,Tier 2
967,5408018023,Tier 3
968,5409020901,Tier 3
969,5406024047,Tier 2
970,5407007035,Tier 3
971,5414012015,Tier 4
972,5414005055,Tier 4
973,5406028129,Tier 3
974,5409004006,Tier 3
975,5407023006,Tier 3
976,5408016001,Tier 3
977,5406022055,Tier 2
978,5414007900,Tier 4
979,5408016008,Tier 3
980,5407010014,Tier 3
981,5409017904,Tier 4
982,5406030020,Tier 3
983,5407009015,Tier 3
984,5414011025,Tier 4
985,5406026005,Tier 2
986,5409020907,Tier 3
987,5409009009,Tier 3
988,5407012008,Tier 3
989,5406028115,Tier 3
990,5407018018,Tier 3
991,5406022036,Tier 2
992,5414005009,Tier 4
993,5407010004,Tier 3
994,5414012001,Tier 4
995,5409005030,Tier 3
996,5406027007,Tier 3
997,5409014902,Tier 3
998,5409015024,Tier 3
999,5406026031,Tier 2
1000,5406022139,Tier 2
1001,5406028135,Tier 3
1002,5409018917,Tier 3
1003,5414005029,Tier 4
1004,5406025051,Tier 2
1005,5408030030,Tier 4
1006,5409006023,Tier 3
1007,5406028065,Tier 3
1008,5406022035,Tier 2
1009,5406022038,Tier 2
1010,5406022040,Tier 2
1011,5406022043,Tier 2
1012,5406022044,Tier 2
1013,5406022049,Tier 2
1014,5406022050,Tier 2
1015,5406022059,Tier 2
1016,5406022060,Tier 2
1017,5406022086,Tier 2
1018,5406022095,Tier 2
1019,5406022099,Tier 2
1020,5406022101,Tier 2
1021,5406022104,Tier 2
1022,5406022108,Tier 2
1023,5406022124,Tier 2
1024,5406023002,Tier 3
1025,5406024012,Tier 3
1026,5406024037,Tier 3
1027,5406024043,Tier 2
1028,5406024048,Tier 2
1029,5406024051,Tier 2
1030,5406025001,Tier 2
1031,5406025002,Tier 2
1032,5406025023,Tier 2
1033,5406025038,Tier 2
1034,5406025041,Tier 2
1035,5406026019,Tier 2
1036,5406026021,Tier 2
1037,5406030028,Tier 3
1038,5407005012,Tier 3
1039,5407005016,Tier 3
1040,5407005020,Tier 3
1041,5407006015,Tier 3
1042,5407006024,Tier 3
1043,5407007041,Tier 3
1044,5407007044,Tier 3
1045,5407007045,Tier 3
1046,5407007046,Tier 3
1047,5407008005,Tier 3
1048,5407009003,Tier 3
1049,5407009013,Tier 3
1050,5407010013,Tier 3
1051,5407010016,Tier 3
1052,5407011006,Tier 3
1053,5407011008,Tier 3
1054,5407011013,Tier 3
1055,5407012011,Tier 3
1056,5407016011,Tier 3
1057,5407017032,Tier 3
1058,5407017034,Tier 3
1059,5407017043,Tier 3
1060,5407017049,Tier 3
1061,5407017050,Tier 3
1062,5407018006,Tier 3
1063,5407018007,Tier 3
1064,5407019008,Tier 3
1065,5407019009,Tier 3
1066,5407019019,Tier 3
1067,5407019020,Tier 3
1068,5407020001,Tier 3
