"store_name","address","address2","city","state","zip5","county","Source","Location"
"Poblano Market","5315 S Vermont Ave","","Los Angeles","CA","90037","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Perez Good Sales","1661 W Martin Luther King Jr Blvd","","Los Angeles","CA","90062","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"7 Eleven Store 37237 A","3994 S Figueroa St","","Los Angeles","CA","90037","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Harry's Liquor","11315 S Main St","","Los Angeles","CA","90061","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"LLOYD'S LIQUOR","7219 Kester Ave","","Van Nuys","CA","91405","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Northridge Farmers Market And Family Festival","9301 Tampa Boulevard","","Northridge","CA","91324","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Quickie Mini Mart","15700 Vanowen St","","Van Nuys","CA","91406","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Le Bon Patissiere Bakery","10931 Victory Blvd","","North Hollywood","CA","91606","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Target Store T3393","330 Westlake Avenue","Unit 500","Los Angeles","CA","90026","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"La Cienega CFM at Kaiser WLA FM","6041 Cadillac Ave","","Los Angeles","CA","90034","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Los Tres Amigos Meat Market","9701 Avalon Blvd","","Los Angeles","CA","90003","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Kaiser Permanente Woodland Hills Certified FM","5601 De Soto Ave","","Woodland Hills","CA","91367","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Mike Meat And Beer Market","4851 Long Beach Ave","","Los Angeles","CA","90058","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Y2D International Inc. 1","4201 Montclair St","","Los Angeles","CA","90018","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"N & K Inc","11680 Victory Blvd","","North Hollywood","CA","91606","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"El Sereno Liquor 4","3327 N Eastern Ave","","Los Angeles","CA","90032","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Manny's Mobil","16955 San Fernando Mission Blvd","","Granada Hills","CA","91344","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Joe's Chevron","16156 Devonshire St","","Granada Hills","CA","91344","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Dollar Mas","1978 E Cesar E Chavez Ave","","Los Angeles","CA","90033","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Carniceria Don Juan 2","12922 Vanowen St","","North Hollywood","CA","91605","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Mega Kosher Market, Inc. N/A","19826 Ventura Blvd","","Woodland Hills","CA","91364","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Foothill V & Y Inc 81435","13883 Foothill Blvd","","Sylmar","CA","91342","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Sharzad Petroleum Enteroprises Corp","1355 W Martin Luther King Jr Blvd","","Los Angeles","CA","90037","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Montana Mart","355 S Western Ave","Ste. 101","Los Angeles","CA","90020","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Don Cangrejo Market","3444 W 8th St","","Los Angeles","CA","90005","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"United Pacific 0228","22330 Ventura Blvd","","Woodland Hills","CA","91364","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Family Dollar 12153","9508 S Vermont Ave","","Los Angeles","CA","90044","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Wally's Liquor Market","1955 S San Pedro St","","Los Angeles","CA","90011","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Aloha Deli Market","2404 S Vermont Ave","","Los Angeles","CA","90007","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Sprouts Farmers Market 252","820 N Western Ave","","San Pedro","CA","90732","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Sprouts Farmers Market 255","21821 Ventura Blvd","","Woodland Hills","CA","91364","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Trinity African Gen Store 1","1206 Lomita Blvd","Ste 6","Harbor City","CA","90710","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Dale's Jr. Liquor Market","15313 Parthenia St","","North Hills","CA","91343","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"98 CENT STORE, YOUR CONVENIENCE","4415 Eagle Rock Blvd","","Los Angeles","CA","90041","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"India Sweets & Grocery","18110 Parthenia St","","Northridge","CA","91325","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Lee's Market","4801 Avalon Blvd","","Los Angeles","CA","90011","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Chapinlandia Bakery 2","1455 W 3rd St","","Los Angeles","CA","90017","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"7-eleven 39629A","3555 W Temple St","","Los Angeles","CA","90004","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"LIMS MARKET","10626 Weigand Ave","","Los Angeles","CA","90002","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Nieto Brothers Corporation","11025 S Figueroa St","","Los Angeles","CA","90061","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"FARMERS BIG 7 MARKET","25513 Normandie Ave","","Harbor City","CA","90710","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"MK Market","14815 Devonshire St","","Mission Hills","CA","91345","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Hope Liquor & Market","2104 Beverly Blvd","","Los Angeles","CA","90057","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Grand Liquor","4669 Melrose Ave","","Los Angeles","CA","90029","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"San Jose Market","2600 Idell St","","Los Angeles","CA","90065","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"La Venadita Meat Market 2","601 N Wilmington Blvd","","Wilmington","CA","90744","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"7 Eleven Store 38846 A","810 S Flower St.","","Los Angeles","CA","90017","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Carichoice Enterprise Inc","4306 Crenshaw Blvd","Ste 107","Los Angeles","CA","90008","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Delmi's Mini Market","4114 S Hoover St","","Los Angeles","CA","90037","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Wilmington Certified Farmers Market","470 Hawaiian Ave","","Wilmington","CA","90744","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"International House Depot","5432 Santa Monica Blvd","","Los Angeles","CA","90029","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"West Adams Farmers Market","1968 W Adams Blvd","Ste 201","Los Angeles","CA","90018","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Pico Gardens Market","557 S Clarence St","","Los Angeles","CA","90033","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Imperial 6 Market","611 E Imperial Hwy","Ste 109","Los Angeles","CA","90059","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Los 7 Diamantes Market","7330 S Main St","","Los Angeles","CA","90003","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Aladin Sweets & Market Inc","139 S Vermont Ave","","Los Angeles","CA","90004","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Pink Elephant Liquor","1836 N Western Ave","","Los Angeles","CA","90027","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Universal Grocery & Delicatessen","5021 Santa Monica Blvd","","Los Angeles","CA","90029","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"MAPLE LIQUOR JR MARKET","10421 S Western Ave","","Los Angeles","CA","90047","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Central Store","10105 S Central Ave","","Los Angeles","CA","90002","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Hooper Market","2339 Hooper Ave","","Los Angeles","CA","90011","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Outlet Sales","425 E Imperial Hwy","Unit D","Los Angeles","CA","90061","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"GALLERIA MARKET","3250 W Olympic Blvd","Ste 100","Los Angeles","CA","90006","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Leyva's Mini Market","1358 W 54th St","","Los Angeles","CA","90037","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"TRADER JOE'S  17","2738 Hyperion Ave","","Los Angeles","CA","90027","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"VONS 2162","1440 W 25th St","","San Pedro","CA","90732","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"3775 Vermont","3775 S Vermont Ave","","Los Angeles","CA","90007","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Food 4 Less 767","12689 Glenoaks Blvd","","Sylmar","CA","91342","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"7-ELEVEN 18406C","5000 Wilshire Blvd","","Los Angeles","CA","90036","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"RALPHS GROCERY COMPANY 87","1050 N Western Ave","","San Pedro","CA","90732","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"Yummy","3607 W Sunset Blvd","","Los Angeles","CA","90026","LOS ANGELES","USDA","Los Angeles (City, 2020)"
"G & J Market","2045 W Martin Luther King Jr Blvd","","Los Angeles","CA","90062","LOS ANGELES","USDA","Los Angeles (City, 2020)"
