Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10060_001,SE_A10060_002,SE_A10060_003
"060371926102","15000US060371926102","Block Group 2, Census Tract 1926.10, Los Angeles County, California","Block Group 2, Census Tract 1926.10, Los Angeles County, California","ca","150","00","ACSSF","0015391",,,,,"06","037",,,,"192610","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,57,184
"060371926103","15000US060371926103","Block Group 3, Census Tract 1926.10, Los Angeles County, California","Block Group 3, Census Tract 1926.10, Los Angeles County, California","ca","150","00","ACSSF","0015392",,,,,"06","037",,,,"192610","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,4,756
"060371926201","15000US060371926201","Block Group 1, Census Tract 1926.20, Los Angeles County, California","Block Group 1, Census Tract 1926.20, Los Angeles County, California","ca","150","00","ACSSF","0015393",,,,,"06","037",,,,"192620","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,0,661
"060371926202","15000US060371926202","Block Group 2, Census Tract 1926.20, Los Angeles County, California","Block Group 2, Census Tract 1926.20, Los Angeles County, California","ca","150","00","ACSSF","0015394",,,,,"06","037",,,,"192620","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,48,509
"060371927001","15000US060371927001","Block Group 1, Census Tract 1927, Los Angeles County, California","Block Group 1, Census Tract 1927, Los Angeles County, California","ca","150","00","ACSSF","0015395",,,,,"06","037",,,,"192700","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,115,797
"060371927002","15000US060371927002","Block Group 2, Census Tract 1927, Los Angeles County, California","Block Group 2, Census Tract 1927, Los Angeles County, California","ca","150","00","ACSSF","0015396",,,,,"06","037",,,,"192700","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,19,142
"060371941011","15000US060371941011","Block Group 1, Census Tract 1941.01, Los Angeles County, California","Block Group 1, Census Tract 1941.01, Los Angeles County, California","ca","150","00","ACSSF","0015397",,,,,"06","037",,,,"194101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622,503,1119
"060371941021","15000US060371941021","Block Group 1, Census Tract 1941.02, Los Angeles County, California","Block Group 1, Census Tract 1941.02, Los Angeles County, California","ca","150","00","ACSSF","0015398",,,,,"06","037",,,,"194102","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,415,70
"060371941022","15000US060371941022","Block Group 2, Census Tract 1941.02, Los Angeles County, California","Block Group 2, Census Tract 1941.02, Los Angeles County, California","ca","150","00","ACSSF","0015399",,,,,"06","037",,,,"194102","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,356,311
"060371941023","15000US060371941023","Block Group 3, Census Tract 1941.02, Los Angeles County, California","Block Group 3, Census Tract 1941.02, Los Angeles County, California","ca","150","00","ACSSF","0015400",,,,,"06","037",,,,"194102","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,331,68
"060371942001","15000US060371942001","Block Group 1, Census Tract 1942, Los Angeles County, California","Block Group 1, Census Tract 1942, Los Angeles County, California","ca","150","00","ACSSF","0015401",,,,,"06","037",,,,"194200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141,924,217
"060371942002","15000US060371942002","Block Group 2, Census Tract 1942, Los Angeles County, California","Block Group 2, Census Tract 1942, Los Angeles County, California","ca","150","00","ACSSF","0015402",,,,,"06","037",,,,"194200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,351,180
"060371943001","15000US060371943001","Block Group 1, Census Tract 1943, Los Angeles County, California","Block Group 1, Census Tract 1943, Los Angeles County, California","ca","150","00","ACSSF","0015403",,,,,"06","037",,,,"194300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,351,131
"060371943002","15000US060371943002","Block Group 2, Census Tract 1943, Los Angeles County, California","Block Group 2, Census Tract 1943, Los Angeles County, California","ca","150","00","ACSSF","0015404",,,,,"06","037",,,,"194300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,336,136
"060371943003","15000US060371943003","Block Group 3, Census Tract 1943, Los Angeles County, California","Block Group 3, Census Tract 1943, Los Angeles County, California","ca","150","00","ACSSF","0015405",,,,,"06","037",,,,"194300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,465,76
"060371944011","15000US060371944011","Block Group 1, Census Tract 1944.01, Los Angeles County, California","Block Group 1, Census Tract 1944.01, Los Angeles County, California","ca","150","00","ACSSF","0015406",,,,,"06","037",,,,"194401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709,119,590
"060371944012","15000US060371944012","Block Group 2, Census Tract 1944.01, Los Angeles County, California","Block Group 2, Census Tract 1944.01, Los Angeles County, California","ca","150","00","ACSSF","0015407",,,,,"06","037",,,,"194401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,98,487
"060371944021","15000US060371944021","Block Group 1, Census Tract 1944.02, Los Angeles County, California","Block Group 1, Census Tract 1944.02, Los Angeles County, California","ca","150","00","ACSSF","0015408",,,,,"06","037",,,,"194402","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,172,558
"060371944022","15000US060371944022","Block Group 2, Census Tract 1944.02, Los Angeles County, California","Block Group 2, Census Tract 1944.02, Los Angeles County, California","ca","150","00","ACSSF","0015409",,,,,"06","037",,,,"194402","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,197,452
"060371944023","15000US060371944023","Block Group 3, Census Tract 1944.02, Los Angeles County, California","Block Group 3, Census Tract 1944.02, Los Angeles County, California","ca","150","00","ACSSF","0015410",,,,,"06","037",,,,"194402","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,210,506
"060371945001","15000US060371945001","Block Group 1, Census Tract 1945, Los Angeles County, California","Block Group 1, Census Tract 1945, Los Angeles County, California","ca","150","00","ACSSF","0015411",,,,,"06","037",,,,"194500","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,157,368
"060371945002","15000US060371945002","Block Group 2, Census Tract 1945, Los Angeles County, California","Block Group 2, Census Tract 1945, Los Angeles County, California","ca","150","00","ACSSF","0015412",,,,,"06","037",,,,"194500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,315,109
"060371951001","15000US060371951001","Block Group 1, Census Tract 1951, Los Angeles County, California","Block Group 1, Census Tract 1951, Los Angeles County, California","ca","150","00","ACSSF","0015413",,,,,"06","037",,,,"195100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619,329,290
"060371951002","15000US060371951002","Block Group 2, Census Tract 1951, Los Angeles County, California","Block Group 2, Census Tract 1951, Los Angeles County, California","ca","150","00","ACSSF","0015414",,,,,"06","037",,,,"195100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,70,192
"060371951003","15000US060371951003","Block Group 3, Census Tract 1951, Los Angeles County, California","Block Group 3, Census Tract 1951, Los Angeles County, California","ca","150","00","ACSSF","0015415",,,,,"06","037",,,,"195100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,402,104
"060371951004","15000US060371951004","Block Group 4, Census Tract 1951, Los Angeles County, California","Block Group 4, Census Tract 1951, Los Angeles County, California","ca","150","00","ACSSF","0015416",,,,,"06","037",,,,"195100","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,403,271
"060371952011","15000US060371952011","Block Group 1, Census Tract 1952.01, Los Angeles County, California","Block Group 1, Census Tract 1952.01, Los Angeles County, California","ca","150","00","ACSSF","0015417",,,,,"06","037",,,,"195201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145,75,1070
"060371952012","15000US060371952012","Block Group 2, Census Tract 1952.01, Los Angeles County, California","Block Group 2, Census Tract 1952.01, Los Angeles County, California","ca","150","00","ACSSF","0015418",,,,,"06","037",,,,"195201","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,218,260
"060371952021","15000US060371952021","Block Group 1, Census Tract 1952.02, Los Angeles County, California","Block Group 1, Census Tract 1952.02, Los Angeles County, California","ca","150","00","ACSSF","0015419",,,,,"06","037",,,,"195202","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,265,105
"060371952022","15000US060371952022","Block Group 2, Census Tract 1952.02, Los Angeles County, California","Block Group 2, Census Tract 1952.02, Los Angeles County, California","ca","150","00","ACSSF","0015420",,,,,"06","037",,,,"195202","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,293,143
"060371952023","15000US060371952023","Block Group 3, Census Tract 1952.02, Los Angeles County, California","Block Group 3, Census Tract 1952.02, Los Angeles County, California","ca","150","00","ACSSF","0015421",,,,,"06","037",,,,"195202","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,209,452
"060371953001","15000US060371953001","Block Group 1, Census Tract 1953, Los Angeles County, California","Block Group 1, Census Tract 1953, Los Angeles County, California","ca","150","00","ACSSF","0015422",,,,,"06","037",,,,"195300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,116,328
"060371953002","15000US060371953002","Block Group 2, Census Tract 1953, Los Angeles County, California","Block Group 2, Census Tract 1953, Los Angeles County, California","ca","150","00","ACSSF","0015423",,,,,"06","037",,,,"195300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,33,171
"060371953003","15000US060371953003","Block Group 3, Census Tract 1953, Los Angeles County, California","Block Group 3, Census Tract 1953, Los Angeles County, California","ca","150","00","ACSSF","0015424",,,,,"06","037",,,,"195300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,109,700
"060371954001","15000US060371954001","Block Group 1, Census Tract 1954, Los Angeles County, California","Block Group 1, Census Tract 1954, Los Angeles County, California","ca","150","00","ACSSF","0015425",,,,,"06","037",,,,"195400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,242,155
"060371954002","15000US060371954002","Block Group 2, Census Tract 1954, Los Angeles County, California","Block Group 2, Census Tract 1954, Los Angeles County, California","ca","150","00","ACSSF","0015426",,,,,"06","037",,,,"195400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,162,630
"060371954003","15000US060371954003","Block Group 3, Census Tract 1954, Los Angeles County, California","Block Group 3, Census Tract 1954, Los Angeles County, California","ca","150","00","ACSSF","0015427",,,,,"06","037",,,,"195400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,171,389
"060371954004","15000US060371954004","Block Group 4, Census Tract 1954, Los Angeles County, California","Block Group 4, Census Tract 1954, Los Angeles County, California","ca","150","00","ACSSF","0015428",,,,,"06","037",,,,"195400","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,193,312
